listing_id,brand,model,reference,price_aed,condition,year,seller_type,location,scraped_date,source
C24-UAE-1021,Jaeger-LeCoultre,Polaris,REF-31643,55100.0,Like New,2019,Private Seller,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1022,Tag Heuer,Aquaracer,REF-36365,6000.0,Fair,2008,Private Seller,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1023,IWC,Aquatimer,REF-42493,16600.0,Very Good,2015,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1024,Omega,Constellation,REF-19305,5400.0,Very Good,1995,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1025,Audemars Piguet,Royal Oak 15400,15400ST.OO.1220ST.01,187500.0,Unworn,2023,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1026,Audemars Piguet,Royal Oak Concept,REF-41850,145500.0,Good,1999,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1027,Jaeger-LeCoultre,Master Ultra Thin,REF-63883,20000.0,Unworn,2001,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1028,Tudor,Heritage Chrono,REF-62772,2400.0,Good,1996,Private Seller,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1029,Jaeger-LeCoultre,Reverso,REF-34050,12100.0,Like New,2002,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1030,Breitling,Navitimer,REF-82132,,Fair,2022,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1031,Rolex,Submariner Date,126610LN,21000.0,Fair,1997,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1032,Audemars Piguet,Royal Oak Offshore,REF-44760,311100.0,Unworn,2023,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1033,Richard Mille,RM 010,REF-73788,217700.0,Fair,2017,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1034,Audemars Piguet,Royal Oak Offshore,REF-51104,111300.0,Fair,2001,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1035,Rolex,Sky-Dweller,REF-76562,14300.0,Fair,2011,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1036,Tudor,Black Bay 58,REF-25713,3800.0,Very Good,1997,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1037,Panerai,Submersible,REF-78522,14700.0,Very Good,1996,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1038,Seiko,Presage,REF-27154,1000.0,Good,2001,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1039,Breitling,Superocean,REF-83792,15600.0,Good,2024,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1040,Omega,Planet Ocean,REF-19016,7100.0,Very Good,2001,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1041,Hublot,Classic Fusion,REF-95717,25500.0,Very Good,2000,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1042,Cartier,Ballon Bleu,REF-44664,12100.0,Fair,2004,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1043,Seiko,Prospex,REF-54942,3100.0,Very Good,2018,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1044,Cartier,Ballon Bleu,REF-16658,34900.0,Like New,2022,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1045,Cartier,Tank,REF-93507,29200.0,Like New,2021,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1046,Patek Philippe,Complications 5396,REF-29536,73500.0,Good,2012,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1047,Tudor,Pelagos,REF-57795,2500.0,Very Good,2013,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1048,Seiko,Presage,REF-83385,1300.0,Good,2001,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1049,Panerai,Submersible,REF-33206,5000.0,Fair,1999,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1050,Rolex,GMT-Master II,126710BLRO,36000.0,Fair,2018,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1051,Richard Mille,RM 055,REF-71694,102100.0,Good,2020,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1052,Audemars Piguet,Royal Oak Offshore,REF-13101,106900.0,Like New,2006,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1053,IWC,Pilot Mark XVIII,REF-94080,9500.0,Good,2003,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1054,Cartier,Ballon Bleu,REF-33405,13200.0,Fair,2005,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1055,Rolex,Datejust 41,126334,44000.0,Very Good,2014,Private Seller,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1056,IWC,Aquatimer,REF-80575,6000.0,Like New,2001,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1057,Hublot,Classic Fusion,REF-96951,30100.0,Fair,1997,Private Seller,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1058,Vacheron Constantin,Patrimony,REF-48752,50700.0,Like New,2011,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1059,Audemars Piguet,Royal Oak Offshore,REF-90676,165400.0,Fair,2016,Private Seller,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1060,IWC,Aquatimer,REF-86019,27400.0,Unworn,2021,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1061,Breitling,Superocean,REF-32241,12500.0,Good,2009,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1062,Richard Mille,RM 035,REF-39444,245500.0,Good,1997,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1063,Patek Philippe,Nautilus 5711,5711/1A-010,348900.0,Like New,1996,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1064,IWC,Aquatimer,REF-41979,17900.0,Like New,2013,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1065,Cartier,Ballon Bleu,REF-65724,15300.0,Good,1995,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1066,Patek Philippe,Complications 5396,REF-27477,89100.0,Very Good,1996,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1067,Cartier,Ballon Bleu,REF-90301,18000.0,Very Good,2012,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1068,Tudor,Heritage Chrono,REF-43972,4500.0,Good,2009,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1069,Tudor,Heritage Chrono,REF-45992,5400.0,Good,2003,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1070,Omega,Constellation,REF-28136,10800.0,Like New,2002,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1071,Audemars Piguet,Royal Oak Offshore,REF-53369,153700.0,Like New,2017,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1072,IWC,Portugieser Chronograph,REF-12560,18400.0,Good,2001,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1073,Breitling,Navitimer,REF-64921,18300.0,Like New,2006,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1074,Breitling,Navitimer,REF-99016,8300.0,Very Good,2003,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1075,Vacheron Constantin,Overseas,REF-13534,96900.0,Very Good,2021,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1076,Panerai,Submersible,REF-70515,9700.0,Unworn,2016,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1077,Rolex,Explorer II,REF-59692,52400.0,Like New,2007,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1078,Jaeger-LeCoultre,Master Ultra Thin,REF-16826,23900.0,Good,2003,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1079,Audemars Piguet,Royal Oak Concept,REF-42411,178900.0,Good,1997,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1080,Tudor,Black Bay 58,REF-83920,7800.0,Like New,2014,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1081,Breitling,Chronomat,REF-25012,10300.0,Good,2003,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1082,Richard Mille,RM 011,REF-59192,345500.0,Unworn,2013,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1083,Vacheron Constantin,Overseas,REF-49529,33000.0,Very Good,1997,Private Seller,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1084,Jaeger-LeCoultre,Polaris,REF-19038,46300.0,Unworn,9999,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1085,Rolex,Oyster Perpetual 41,REF-70258,48300.0,Very Good,2021,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1086,IWC,Portugieser Chronograph,REF-80539,24900.0,Very Good,2018,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1087,Breitling,Superocean,REF-21359,21200.0,Good,2021,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1088,Seiko,Presage,REF-54092,2100.0,Good,2002,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1089,Breitling,Superocean,REF-46655,7200.0,Very Good,2000,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1090,TAG HEUER,Carrera,REF-74038,5700.0,Fair,2011,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1091,Vacheron Constantin,Patrimony,REF-48566,15900.0,Good,2015,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1092,IWC,Aquatimer,REF-79588,17400.0,Like New,2002,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1093,IWC,Aquatimer,REF-42951,12500.0,Like New,2012,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1094,Omega,Seamaster 300M,REF-34267,14100.0,Like New,2005,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1095,Audemars Piguet,Royal Oak Concept,REF-88222,240100.0,Like New,2010,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1096,Omega,Seamaster 300M,REF-80010,3200.0,Like New,2004,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1097,Richard Mille,RM 011,REF-74340,107700.0,Very Good,1996,Private Seller,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1098,Tudor,Black Bay 58,REF-16734,5100.0,Like New,2013,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1099,Tudor,Pelagos,REF-92502,2300.0,Good,1998,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1100,Patek Philippe,Aquanaut 5167,REF-25525,350200.0,Very Good,2020,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1101,Panerai,Submersible,REF-68028,16900.0,Very Good,2020,Private Seller,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1102,Tudor,Heritage Chrono,REF-23006,7100.0,Like New,2008,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1103,Cartier,Santos,REF-19838,5400.0,Good,2003,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1104,Rolex,Oyster Perpetual 41,REF-47762,16000.0,Good,2009,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1105,Vacheron Constantin,Patrimony,REF-91927,61900.0,Good,1997,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1106,IWC,Portugieser Chronograph,REF-28643,12400.0,Like New,2012,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1107,Rolex,GMT-Master II,126710BLRO,76100.0,Like New,2020,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1108,Omega,De Ville,REF-80776,8900.0,Like New,2017,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1109,Breitling,Navitimer,REF-42816,10000.0,Unworn,2014,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1110,Omega,Seamaster 300M,REF-98117,15100.0,Good,2016,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1111,Panerai,Luminor Marina,REF-46458,19500.0,Good,2019,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1112,Panerai,Radiomir,REF-63523,12100.0,Good,2015,Private Seller,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1113,Hublot,Spirit of Big Bang,REF-47777,41100.0,Good,1998,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1114,Tudor,Heritage Chrono,REF-62976,4300.0,Very Good,1996,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1115,Cartier,Ballon Bleu,REF-75338,9400.0,Very Good,2009,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1116,Jaeger-LeCoultre,Reverso,REF-73532,16900.0,Like New,2001,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1117,Rolex,Day-Date 40,REF-22217,74300.0,Like New,9999,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1118,Tudor,Black Bay 58,REF-48254,2200.0,Fair,2009,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1119,IWC,Pilot Mark XVIII,REF-88561,15200.0,Like New,2010,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1120,Tudor,Black Bay 58,REF-76550,3800.0,Good,2003,Private Seller,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1121,Tudor,Black Bay 58,REF-96499,5100.0,Good,2004,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1122,Tudor,Black Bay 58,REF-81228,5800.0,Very Good,2009,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1123,Breitling,Superocean,REF-40613,22100.0,Like New,2022,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1124,Rolex,Daytona,REF-96991,50100.0,Very Good,2018,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1125,Breitling,Navitimer,REF-67711,15800.0,Very Good,1999,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1126,Tag Heuer,Monaco,REF-30232,6700.0,Good,1995,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1127,Breitling,Superocean,REF-53065,4700.0,Very Good,2005,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1128,Hublot,Spirit of Big Bang,REF-90931,42900.0,Good,2017,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1129,Audemars Piguet,Royal Oak Concept,REF-66881,142000.0,Fair,2016,Private Seller,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1130,Jaeger-LeCoultre,Polaris,REF-13794,28900.0,Good,2017,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1131,Hublot,Big Bang,411.CM.1180.RX,22100.0,Very Good,2004,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1132,Patek Philippe,Aquanaut 5167,REF-75230,257200.0,Very Good,1997,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1133,Audemars Piguet,Royal Oak Offshore,REF-70981,52300.0,Like New,2015,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1134,Cartier,Ballon Bleu,REF-49210,23400.0,Unworn,2000,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1135,Vacheron Constantin,Patrimony,REF-73335,36900.0,Good,2009,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1136,Audemars Piguet,Royal Oak Offshore,REF-12875,197800.0,Very Good,2013,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1137,Richard Mille,RM 011,REF-89482,,Good,2013,Private Seller,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1138,Tudor,Pelagos,REF-93442,5600.0,Good,2019,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1139,Panerai,Radiomir,REF-27927,16800.0,Good,2016,Private Seller,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1140,Seiko,Astron,REF-57823,600.0,Unworn,2015,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1141,Omega,Constellation,REF-80701,3700.0,Good,2005,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
